Flight No.,Date and time ( UTC ),"Version, Booster   ",Launch site,Payload ,Payload mass,Orbit,Customer,Launch outcome,Booster landing,1,2,3,4,5,6,7,Payload,Version Booster,Date,Time
1,,,"CCAFS,SLC-40",,,LEO,SpaceX,Success,Failure,,,,,,,,Dragon Spacecraft Qualification Unit,F9 v1.07B0003.18,4 June 2010,18:45
2,,,"CCAFS,SLC-40",,,LEO (ISS),"NASA (COTS)
NRO",Success[9],Failure,,,,,,,,Dragon demo flight C1(Dragon C101),F9 v1.07B0004.18,8 December 2010,15:43
3,,,"CCAFS,SLC-40",,525,LEO (ISS),NASA (COTS),Success[20],"No attempt
",,,,,,,,Dragon demo flight C2+[18](Dragon C102),F9 v1.07B0005.18,22 May 2012,07:44
4,,,"CCAFS,SLC-40",,4700,LEO (ISS),NASA (CRS),Success,No attempt,,,,,,,,SpaceX CRS-1[22](Dragon C103),F9 v1.07B0006.18,8 October 2012,00:35
5,,,"CCAFS,SLC-40",,4877,LEO (ISS),NASA (CRS),Success,"No attempt
",,,,,,,,SpaceX CRS-2[22](Dragon C104),F9 v1.07B0007.18,1 March 2013,15:10
6,,,"VAFB,SLC-4E",,500,Polar orbit LEO,MDA,Success[30],Uncontrolled,,,,,,,,CASSIOPE[22][31],F9 v1.17B10038,29 September 2013,16:00
7,,,"CCAFS,SLC-40",,3170,GTO,SES,Success[37],No attempt,,,,,,,,SES-8[22][35][36],,3 December 2013,22:41
8,,,"CCAFS,SLC-40",,3325,GTO,Thaicom,Success[42],No attempt,,,,,,,,Thaicom 6[22],,6 January 2014,22:06
9,,,"Cape Canaveral,LC-40",,2296,LEO (ISS),NASA (CRS),Success,Controlled,,,,,,,,SpaceX CRS-3[22](Dragon C105),,18 April 2014,19:25
10,,,"Cape Canaveral,LC-40",,1316,LEO,Orbcomm,Success[51],Controlled,,,,,,,,Orbcomm-OG2-1(6 satellites)[22],,14 July 2014,15:15
11,,,"Cape Canaveral,LC-40",,4535,GTO,AsiaSat,Success[56],No attempt,,,,,,,,AsiaSat 8[22][54][55],,5 August 2014,08:00
12,,,"Cape Canaveral,LC-40",,4428,GTO,AsiaSat,Success[59],"No attempt
",,,,,,,,AsiaSat 6[22][54][58],F9 v1.1[,7 September 2014,05:00
13,,,"Cape Canaveral,LC-40",,2216,LEO (ISS),NASA (CRS),Success[63],Uncontrolled,,,,,,,,SpaceX CRS-4[22](Dragon C106.1),F9 v1.1[,21 September 2014,05:52
14,,,"Cape Canaveral,LC-40",,2395,LEO (ISS),NASA (CRS),Success[70],Failure ,,,,,,,,SpaceX CRS-5[68](Dragon C107),F9 v1.1[,10 January 2015,09:47
15,,,"Cape Canaveral,LC-40",,570,HEO(Sun–Earth L1 insertion),"USAF
NASA
NOAA",Success,Controlled,,,,,,,,DSCOVR[68][73],F9 v1.1[,11 February 2015,23:03
16,,,"Cape Canaveral,LC-40",,4159,GTO,"ABS
Eutelsat",Success,No attempt,,,,,,,,"ABS-3A
Eutelsat 115 West B[68]",F9 v1.1[,2 March 2015,03:50
17,,,"Cape Canaveral,LC-40",,1898,LEO (ISS),NASA (CRS),Success,Failure,,,,,,,,SpaceX CRS-6[68](Dragon C108.1),F9 v1.1[,14 April 2015,20:10
18,,,"Cape Canaveral,LC-40",,4707,GTO,Turkmenistan NationalSpace Agency[88],Success,No attempt,,,,,,,,TürkmenÄlem 52°E / MonacoSAT[68][87],F9 v1.1[,27 April 2015,23:03
19,,,"Cape Canaveral,LC-40",,1952,LEO (ISS),NASA (CRS),Failure[93](in flight),Precluded,,,,,,,,SpaceX CRS-7[68](Dragon C109),F9 v1.1[,28 June 2015,14:21
20,,,"Cape Canaveral,LC-40",,2034,LEO,Orbcomm,Success,Success,,,,,,,,Orbcomm-OG2-2(11 satellites)[22][97],F9 FT[,22 December 2015,01:29
21,,,"VAFB,SLC-4E",,553,LEO,"NASA (LSP)
NOAA
CNES",Success,Failure,,,,,,,,Jason-3[68][104],F9 v1.1[,17 January 2016,18:42
22,,,"Cape Canaveral,LC-40",,5271,GTO,SES,Success,Failure,,,,,,,,SES-9[68][109][110],F9 FT[,4 March 2016,23:35
23,,,"Cape Canaveral,LC-40",,3136,LEO (ISS),NASA (CRS),Success[117],Success,,,,,,,,SpaceX CRS-8[68][110](Dragon C110.1),F9 FT[,8 April 2016,20:43
24,,,"Cape Canaveral,LC-40",,4696,GTO,SKY Perfect JSAT Group,Success,Success,,,,,,,,JCSAT-14[123],F9 FT[,6 May 2016,05:21
25,,,"Cape Canaveral,LC-40",,3100,GTO,Thaicom,Success,Success,,,,,,,,Thaicom 8[130][131],F9 FT[,27 May 2016,21:39
26,,,"Cape Canaveral,LC-40",,3600,GTO,"ABS
Eutelsat",Success,Failure,,,,,,,,"ABS-2A
Eutelsat 117 West B[68]",F9 FT[,15 June 2016,14:29
27,,,"Cape Canaveral,LC-40",,2257,LEO (ISS),NASA (CRS),Success,Success,,,,,,,,SpaceX CRS-9[68][141](Dragon C111.1),F9 FT[,18 July 2016,04:45
28,,,"Cape Canaveral,LC-40",,4600,GTO,SKY Perfect JSAT Group,Success,Success,,,,,,,,JCSAT-16,F9 FT[,14 August 2016,05:26
29,,,"VAFB,SLC-4E",,9600,Polar LEO,Iridium Communications,Success,Success,,,,,,,,Iridium NEXT-1(10 satellites)[152][153],F9 FT[,14 January 2017,17:54
30,,,"KSC,LC-39A",,2490,LEO (ISS),NASA (CRS),Success,Success,,,,,,,,SpaceX CRS-10[141](Dragon C112.1),F9 FT[,19 February 2017,14:39
31,,,"KSC,LC-39A",,5600,GTO,EchoStar,Success,No attempt,,,,,,,,EchoStar 23,F9 FT[,16 March 2017,06:00
32,,,"KSC,LC-39A",,5300,GTO,SES,Success[170],Success,,,,,,,,SES-10[109][168],F9 FT♺[,30 March 2017,22:27
33,,,"KSC,LC-39A",,,LEO[175],NRO,Success,Success,,,,,,,,NROL-76[174],F9 FT[,1 May 2017,11:15
34,,,"KSC,LC-39A",,6070,GTO,Inmarsat,Success,No attempt,,,,,,,,Inmarsat-5 F4[180],F9 FT[,15 May 2017,23:21
35,,,"KSC,LC-39A",,2708,LEO (ISS),NASA (CRS),Success,Success,,,,,,,,SpaceX CRS-11[141](Dragon C106.2 ♺),F9 FT[,3 June 2017,21:07
36,,,"KSC,LC-39A",,3669,GTO,Bulsatcom,Success,Success,,,,,,,,BulgariaSat-1[196],F9 FTB1029.2195,23 June 2017,19:10
37,,,"VAFB,SLC-4E",,9600,LEO,Iridium Communications,Success,Success,,,,,,,,Iridium NEXT-2(10 satellites),F9 FT[,25 June 2017,20:25
38,,,"KSC,LC-39A",,6761,GTO,Intelsat,Success,No attempt,,,,,,,,Intelsat 35e[201],F9 FT[,5 July 2017,23:38
39,,,"KSC,LC-39A",,3310,LEO (ISS),NASA (CRS),Success,Success,,,,,,,,SpaceX CRS-12[141](Dragon C113.1),F9 B4[,14 August 2017,16:31
40,,,"VAFB,SLC-4E",,475,SSO,NSPO,Success,Success,,,,,,,,Formosat-5[210][211],F9 FT[,24 August 2017,18:51
41,,,"KSC,LC-39A",,4990,LEO,USAF,Success,Success,,,,,,,,Boeing X-37B OTV-5,F9 B4[,7 September 2017,14:00
42,,,"VAFB,SLC-4E",,9600,Polar LEO,Iridium Communications,Success,Success,,,,,,,,Iridium NEXT-3(10 satellites)[152],F9 B4[,9 October 2017,12:37
43,,,"KSC,LC-39A",,5200,GTO,"SES S.A.
EchoStar",Success,Success,,,,,,,,SES-11 / EchoStar 105,F9 FTB1031.2220,11 October 2017,22:53:00
44,,,"KSC,LC-39A",,3500,GTO,KT Corporation,Success,Success,,,,,,,,Koreasat 5A[222],F9 B4[,30 October 2017,19:34
